"","OID_","iso","Language","Family","gFam","Autotyp.area","Region","Number.of.tones","specH.mean"
"1",642,"nmn","!Xoon","Kx'aa","Tuu","Southern Africa ","Africa",3,0.00663521076340326
"2",643,"xam","/Xam","Kx'aa","Tuu","Southern Africa ","Africa",4,0.00816991204933955
"3",636,"xxx-2","||Ana","Khoe",NA,"Southern Africa ","Africa",4,0.00816991204933955
"4",1544,"hnh","||Ani","Khoe","Khoe-Kwadi","Southern Africa ","Africa",3,0.0085931970975136
"5",639,"gnk","||Gana","Khoe","Khoe-Kwadi","Southern Africa ","Africa",4,0.0085931970975136
"6",2071,"xeg","||Xekwi","Khoe","Tuu","Southern Africa ","Africa",2,0.00715175996678322
"7",2148,"gwj","|Gwi","Khoe","Khoe-Kwadi","Southern Africa ","Africa",4,0.00663521076340326
"8",3671,"aib","?ynu","Turkic",NA,"Northern Eurasia ","Eurasia",0,0.00314777424924242
"9",3929,"ash","A'iwa","A'iwa","Tekiraka","Amazon ","South America",0,0.0181763194250194
"10",2493,"aji","A'ji?","Austronesian",NA,"Pacific ","Pacific",0,0.0150983943958819
"11",1562,"aiw","Aari","Afro-Asiatic","South_Omotic","Ethiopia ","Africa",2,0.0141407516427739
"12",2072,"abm","Abanyom","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",4,0.0174789068939394
"13",967,"aau","Abau","Sepik","Sepik","North New Guinea ","Pacific",4,0.0175709102758353
"14",3648,"abq","Abaza","North-west Caucasus","Abkhaz-Adyge","Middle East ","Eurasia",0,0.00821047808935509
"15",2486,"abt-2","Abelam","Sepik","Ndu","North New Guinea ","Pacific",0,0.0174953291414141
"16",3631,"abe","Abenaki_Western","Algic","Algic","Eastern North America ","North America",0,0.00677433170609946
"17",2487,"bsa","Abinomn","Abinomn","Abinomn","New Guinea Highlands ","Pacific",0,0.0177979303535354
"18",522,"axb","Abipon","Guaicuruan","Guaicuruan","Patagonia ","South America",0,0.0114692239963092
"19",901,"abk","Abkhaz","North-west Caucasus","Abkhaz-Adyge","Middle East ","Eurasia",0,0.00726890632167832
"20",1269,"app","Abma","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"21",2073,"abn","Abua","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",3,0.0183740472494172
"22",1270,"abz","Abui","Timor-Alor-Pantar","Timor-Alor-Pantar","Pacific ","Pacific",2,0.0180646842055167
"23",1219,"kgr","Abun","WestPapuan","Abun","North New Guinea ","Pacific",2,0.0189533737762238
"24",418,"ace","Acehnese","Austronesian","Austronesian","Southeast Asia ","Pacific",0,0.0183404387723388
"25",2917,"aca","Achagua","Arawak","Arawakan","Amazon ","South America",0,0.0163750072358197
"26",2059,"can","Achang_Lianghe","Tibeto-Burman","Lower_Sepik-Ramu","Southeast Asia ","Eurasia",3,0.0122121606353924
"27",3435,"acr","Achi","Mayan","Mayan","Central America ","North America",0,0.0169066000524476
"28",625,"acu","Achuar","Jivaroan","Jivaroan","Amazon ","South America",0,0.0152246995221445
"29",531,"acv","Achumawi","Palaihnihan","Palaihnihan","Western North America ","North America",4,0.00723793702991453
"30",2001,"guq","Ach?","Tupi",NA,"Patagonia ","South America",0,0.0150239150437063
"31",2074,"ach","Acooli","Nilo-Saharan","Nilotic","Southern Africa ","Africa",2,0.015005820452603
"32",2488,"adn","Adang","Timor-Alor-Pantar","Timor-Alor-Pantar","Pacific ","Pacific",0,0.0180646842055167
"33",2075,"ada","Adangme","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",3,0.0184863100097125
"34",902,"ady","Adyghe","North-west Caucasus","Abkhaz-Adyge","Middle East ","Eurasia",0,0.00911972341239316
"35",146,"adt","Adynyamathanha","Pama-Nyungan","Pama-Nyungan","Australia ","Australia",0,0.00512533951437451
"36",295,"azr","Adzera","Austronesian",NA,"North New Guinea ","Pacific",0,0.016431737020202
