"","OID_","iso","Language","Family","gFam","Autotyp.area","Region","Number.of.tones","specH.mean"
"37",2489,"aez","Aeka","Trans New Guinea","Nuclear_Trans_New_Guinea","South New Guinea ","Pacific",2,0.0175554056701632
"38",2076,"aar","Afar","Afro-Asiatic","Afro-Asiatic","Ethiopia ","Africa",0,0.0114311249803807
"39",559,"afr","Afrikaans","Indo-European","Indo-European","Southern Africa ","Eurasia",0,0.00817388832808858
"40",1094,"agd","Agarabi","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",4,0.016431737020202
"41",1479,"agq","Aghem","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",6,0.0174789068939394
"42",1078,"ahh","Aghu","Trans New Guinea","Nuclear_Trans_New_Guinea","South New Guinea ","Pacific",2,0.0189198293822844
"43",288,"agt","Agta","Austronesian","Austronesian","Pacific ","Pacific",0,0.0182355565112665
"44",1309,"agr","Aguaruna","Jivaroan","Jivaroan","Andes ","South America",0,0.0127244460359363
"45",3436,"agu","Aguatec","Mayan","Mayan","Central America ","North America",0,0.0169066000524476
"46",3649,"agx","Agul","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00676271497804973
"47",3650,"agx-2","Agul_Burkixan","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00676271497804973
"48",3651,"agx-3","Agul_Burshag","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00676271497804973
"49",3652,"agx-4","Agul_Fite","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00676271497804973
"50",3653,"agx-5","Agul_Richa","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00676271497804973
"51",2340,"wmi","Agwamin","Pama-Nyungan","Pama-Nyungan","Northern Australia ","Australia",0,0.0117111064726107
"52",2060,"yix","Ahi","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",6,0.0116364705528361
"53",3654,"aho","Ahom","Tai-Kadai","Tai-Kadai","Southeast Asia ","Eurasia",5,0.0127874062121212
"54",2002,"aht","Ahtna","Na-Dene","Athapaskan-Eyak-Tlingit","Pacific Northwest ","North America",2,0.00510713036188811
"55",1511,"aih","Ai-cham_Diwo","Tai-Kadai","Tai-Kadai","Southeast Asia ","Eurasia",5,0.0130511742954545
"56",3437,"tba","Aikanﬂ","Aikanﬂ",NA,"Amazon ","South America",0,0.015418129460373
"57",47,"ain","Ainu","Ainu","Ainu","North Pacific ","Eurasia",2,0.00763335874106449
"58",2490,"air","Airoran","Kwerba","Greater_Kwerba","North New Guinea ","Pacific",0,0.0182464219522145
"59",3372,"mmq","Aisi","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",0,0.0169529563714064
"60",4143,"tzm-2","Ait Seghrouchen","Afro-Asiatic","Afro-Asiatic","North Africa ","Africa",0,0.0054798041470474
"61",2491,"roo-2","Aita Rotokas","West Bougainville","North_Bougainville","Pacific ","Pacific",0,0.0190979505167055
"62",3655,"aio","Aiton","Tai-Kadai","Tai-Kadai","Southeast Asia ","Eurasia",6,0.0144618797727273
"63",2492,"rar-2","Aitutaki","Austronesian","Austronesian","Pacific ","Pacific",0,0.016782399504662
"64",943,"nfl","Aiwoo","Austronesian","Austronesian","Pacific ","Pacific",0,0.019374892004662
"65",2003,"ahp","Aizi","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0183151742871018
"66",1390,"hru","Aka","Tibeto-Burman","Hruso-Aka","South Asia ","Eurasia",2,0.0131466522327117
"67",822,"aka","Akan","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",3,0.018372138459596
"68",2004,"ake","Akawaio","Cariban","Cariban","Amazon ","South America",0,0.0160932555827506
"69",2494,"tsr","Akei","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"70",997,"ahk","Akha","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",6,0.0136582032284382
"71",3656,"ahk","Akha_Senchai","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",7,0.0135883932876845
"72",2077,"akk","Akkadian","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.00519267786519037
"73",2495,"akl","Aklanon","Austronesian","Austronesian","Pacific ","Pacific",0,0.01891040246115
"74",3413,"bss","Akosse","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",4,0.0174789068939394
"75",3384,"miw-2","Akoye","Trans New Guinea","Angan","South New Guinea ","Pacific",3,0.0181360316919192
"76",3062,"aqz","Akuntsu","Tupi","Tupian","Amazon ","South America",0,0.0143314641008159
"77",3949,"ako","Akurio","Cariban","Cariban","Amazon ","South America",0,0.0167495130089355
"78",2078,"akw","Akwa","Niger-Kongo","Atlantic-Congo","Southern Africa ","Africa",4,0.0167561224125874
"79",296,"nrz","Alaala","Austronesian","Austronesian","South New Guinea ","Pacific",0,0.0186935378593629
"80",699,"akz","Alabama","Muskogean","Muskogean","Eastern North America ","North America",2,0.0126482101000388
"81",3950,"alc-2","Alacalufe_Central","Alaculufan","Kawesqar","Patagonia ","South America",0,0.00487168918259518
"82",3951,"alc-3","Alacalufe_Southern","Alaculufan","Kawesqar","Patagonia ","South America",0,0.00486580157614608
"83",965,"amp","Alamblak","Sepik","Sepik","North New Guinea ","Pacific",0,0.0174953291414141
"84",131,"alh","Alawa","Mara-Warndarang-Alawa","Mangarrayi-Maran","Northern Australia ","Australia",0,0.0109675933455711
"85",3657,"aln","Albanian Gheg","Indo-European","Indo-European","Europe ","Eurasia",0,0.00800005438850039
"86",550,"als","Albanian Tosk","Indo-European","Indo-European","Europe ","Eurasia",0,0.0107165001522922
"87",3377,"gah","Alekano","Trans New Guinea","Nuclear_Trans_New_Guinea","New Guinea Highlands ","Pacific",4,0.0169529563714064
"88",515,"ale","Aleut","Eskimo-Aleut","Eskimo-Aleut","North Pacific ","North America",0,0.00521476809537685
"89",3438,"ale","Aleut_Atkan","Eskimo-Aleut","Eskimo-Aleut","North Pacific ","North America",0,0.00527324601029526
"90",3439,"ale-2","Aleut_Attuan","Eskimo-Aleut","Eskimo-Aleut","North Pacific ","North America",0,0.00527324601029526
"91",3440,"ale-3","Aleut_Eastern","Eskimo-Aleut","Eskimo-Aleut","North Pacific ","North America",0,0.00529875792463093
"92",3441,"alq","Algonquin","Algic","Algic","Eastern North America ","North America",0,0.00606666230788656
"93",2496,"ykm","Ali","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.0174953291414141
"94",2005,"ald","Alladian","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0183151742871018
"95",3442,"qbt","Allentiac","Allentiac",NA,"Patagonia ","South America",0,0.00614836067327117
"96",2341,"aid","Alngith","Pama-Nyungan","Pama-Nyungan","Northern Australia ","Australia",0,0.0167059839005439
"97",2066,"aol","Alor","Austronesian","Austronesian","Pacific ","Pacific",0,0.0180646842055167
"98",4166,"gsw-2","Alsatian","Indo-European","Indo-European","Europe ","Eurasia",0,0.00641935276184926
"99",906,"aes","Alsea","Oregon Coast","Alsea","Pacific Northwest ","North America",2,0.00720821737975913
"100",3658,"alt","Altai","Turkic","Turkic","Northern Eurasia ","Eurasia",0,0.00371968090998446
"101",3659,"atv","Altai_Kumandy","Turkic","Turkic","Northern Eurasia ","Eurasia",0,0.00378037757853535
"102",2497,"mvv","Alumbis Murut","Austronesian","Austronesian","Southeast Asia ","Pacific",0,0.0175545499164724
"103",266,"alp","Alune","Austronesian","Austronesian","Pacific ","Pacific",0,0.018768042964258
"104",2080,"alz","Alur","Nilo-Saharan","Nilotic","Southern Africa ","Africa",2,0.0156356601981352
"105",147,"aly","Alyawarr","Pama-Nyungan","Pama-Nyungan","Australia ","Australia",0,0.00526473209265734
"106",3660,"alr","Alyutor","Chukotko-Kamchatkan","Chukotko-Kamchatkan","North Pacific ","Eurasia",0,0.00402474666511266
"107",2498,"amm","Ama","Left May","Left_May","North New Guinea ","Pacific",4,0.0175709102758353
"108",2499,"amq","Amahai_Soahuku","Austronesian","Austronesian","Pacific ","Pacific",0,0.0188360046717172
"109",915,"amc","Amahuaca","Panoan","Pano-Tacanan","Amazon ","South America",2,0.0096493647968143
"110",2500,"ali","Amaimon","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",0,0.0169529563714064
"111",3661,"ams","Amami_Ryukyu","Japonic","Japonic","Southeast Asia ","Eurasia",2,0.0157895943492618
"112",447,"amn","Amanab","Trans New Guinea","Border","North New Guinea ","Pacific",0,0.0175709102758353
"113",297,"aie","Amara","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.0175095402136752
"114",3952,"amr","Amarakaeri","Harakmbet","Harakmbut","Amazon ","South America",0,0.00854252087140637
"115",1522,"aaz","Amarasi","Austronesian","Austronesian","Pacific ","Pacific",0,0.0181520703108003
"116",2502,"utp","Amba_Nembao","Austronesian","Austronesian","Pacific ","Pacific",0,0.0190551186091686
"117",298,"omb","Ambae_West","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"118",400,"amk","Ambai","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.0184150213869464
"119",2503,"alm","Amblong","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"120",1461,"abs","Ambonese Malay","Austronesian","Austronesian","Pacific ","Pacific",0,0.018768042964258
"121",3041,"mmg","Ambrym_North","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"122",3196,"tvk-2","Ambrym_Southeast","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"123",960,"abt","Ambulas","Sepik","Ndu","North New Guinea ","Pacific",0,0.0174953291414141
"124",1445,"adx","Amdo","Tibeto-Burman","Sino-Tibetan","Northern Eurasia ","Eurasia",0,0.00293271248125486
"125",1120,"aey","Amele","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",0,0.016431737020202
"126",27,"amh","Amharic","Afro-Asiatic","Afro-Asiatic","Ethiopia ","Africa",0,0.0124185792455322
"127",2342,"amy","Ami","Western Daly","Western_Daly","Northern Australia ","Australia",0,0.0175196693997669
"128",396,"ami","Amis","Austronesian","Austronesian","Southeast Asia ","Pacific",0,0.017203714020979
"129",815,"amo","Amo","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0149418736264569
"130",1256,"nan","Amoy","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",5,0.0149762615592463
"131",2505,"apz","Ampale","Trans New Guinea","Angan","New Guinea Highlands ","Pacific",2,0.016431737020202
"132",97,"ame","Amuesha","Arawak","Arawakan","Amazon ","South America",0,0.0159249024825175
"133",3953,"adw","Amundava","Tupi","Tupian","Amazon ","South America",0,0.0149232652614608
"134",2343,"amg","Amurdak","Iwaidjan","Iwaidjan_Proper","Northern Australia ","Australia",0,0.0157860214772727
"135",2006,"amu","Amuzgo","Otomanguean","Otomanguean","Central America ","North America",4,0.0161145737160062
"136",3445,"amu","Amuzgo_Huixtepec","Otomanguean","Otomanguean","Central America ","North America",3,0.0175253850854701
"137",3444,"azg","Amuzgo_San Pedro","Otomanguean","Otomanguean","Central America ","North America",3,0.0161145737160062
"138",3662,"aml","Amwi","Austro-Asiatic","Austroasiatic","South Asia ","Eurasia",3,0.0151366546365579
"139",2081,"nar","Anaguta","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0149418736264569
"140",2506,"akg","Anakalang","Austronesian","Austronesian","Pacific ","Pacific",0,0.0183086013636364
"141",1121,"imi","Anamuxra","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",0,0.0173973739607615
"142",4097,"spa-3","Andalusian","Indo-European","Indo-European","Europe ","Eurasia",0,0.0107221716804584
"143",3663,"ani","Andi","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",2,0.00654397926787102
"144",3664,"ani-2","Andi_Tad-Magitil","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",2,0.00654397926787102
"145",3955,"anb","Andoa","Zaparoan","Zaparoan","Amazon ","South America",0,0.0153195992871018
"146",92,"ano","Andok?","Andok?",NA,"Amazon ","South America",2,0.0182238877622378
"147",299,"aty","Anejom","Austronesian","Austronesian","Pacific ","Pacific",0,0.0162276186208236
"148",93,"anz","Anem","Anem","Anem","North New Guinea ","Pacific",0,0.0175095402136752
"149",2507,"aby","Aneme Wake","Trans New Guinea","Yareban","South New Guinea ","Pacific",0,0.0182786253146853
"150",2007,"agm","Angaatiha","Trans New Guinea","Angan","New Guinea Highlands ","Pacific",0,0.0174866709770785
"151",2509,"age","Angal","Trans New Guinea","Nuclear_Trans_New_Guinea","New Guinea Highlands ","Pacific",0,0.0179879601573427
"152",2510,"akh","Angal Heneng","Trans New Guinea","Nuclear_Trans_New_Guinea","New Guinea Highlands ","Pacific",0,0.0179879601573427
"153",1012,"njm","Angami","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",0,0.0127874062121212
"154",39,"anc","Angas","Afro-Asiatic","Afro-Asiatic","West Africa ","Africa",4,0.0149418736264569
"155",956,"agg","Anggor","Trans New Guinea","Senagi","North New Guinea ","Pacific",0,0.0175709102758353
"156",2511,"kwe-2","Anggreso","Kwerba","Greater_Kwerba","North New Guinea ","Pacific",0,0.0182464219522145
"157",2344,"avm","Angkamuthi","Pama-Nyungan",NA,"Northern Australia ","Australia",0,0.0167059839005439
"158",2512,"akb","Angkola Batak","Austronesian","Austronesian","Southeast Asia ","Pacific",0,0.0183198359110334
"159",148,"xxx-3","Anguthimri","Pama-Nyungan",NA,"Northern Australia ","Australia",0,0.0174729360003885
"160",3886,"ypn","Ani Phowa","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",5,0.0131134044335664
"161",2095,"blo","Anii","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",5,0.0158915132358197
"162",112,"aoi","Anindilyagwa","Anindilyagwa","Gunwinyguan","Northern Australia ","Australia",0,0.0160381957255245
"163",2513,"fut","Aniwa","Austronesian","Austronesian","Pacific ","Pacific",0,0.0162276186208236
"164",2514,"boj","Anjam","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",0,0.016431737020202
"165",2515,"aak","Ankave","Trans New Guinea","Angan","New Guinea Highlands ","Pacific",0,0.0174866709770785
"166",2345,"amx","Anmatyerr_East","Pama-Nyungan","Pama-Nyungan","Australia ","Australia",0,0.0058695130499223
"167",2346,"amx-2","Anmatyerr_West","Pama-Nyungan","Pama-Nyungan","Australia ","Australia",0,0.00579864685936286
"168",1373,"nun","Anong","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",4,0.0115538669343434
"169",2516,"and","Ansus","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.0188861366569542
"170",2082,"anu","Anuak","Nilo-Saharan","Nilotic","Ethiopia ","Africa",2,0.0155598693094406
"171",2083,"cko","Anufo","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",3,0.0159259896855089
"172",2517,"aud","Anuta","Austronesian","Austronesian","Pacific ","Pacific",0,0.0191406963791764
"173",823,"any","Anyin","Niger-Kongo","Atlantic-Congo","West Africa ","Africa",2,0.0183151742871018
"174",1013,"njo","Ao","Tibeto-Burman","Sino-Tibetan","Southeast Asia ","Eurasia",3,0.0135883932876845
"175",2518,"aor","Aore","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"176",3947,"apw","Apache_Western","Na-Dene","Athapaskan-Eyak-Tlingit","Western North America ","North America",2,0.00492709656565657
"177",461,"apy","Apalai","Cariban","Cariban","Amazon ","South America",0,0.017641327496115
"178",3373,"ena","Apali","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",0,0.0169529563714064
"179",1381,"apt","Apatani","Tibeto-Burman","Sino-Tibetan","South Asia ","Eurasia",3,0.0131466522327117
"180",3956,"api","Apiakﬂ","Tupi",NA,"Amazon ","South America",0,0.0173340307750583
"181",665,"apn","Apinaye","Macro-Je","Nuclear-Macro-Je","Amazon ","South America",0,0.0170482715576923
"182",98,"apu","Apurin?","Arawak",NA,"Amazon ","South America",0,0.0160592940967366
"183",2519,"apx","Aputai","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179713804506604
"184",149,"ard","Arabana","Pama-Nyungan","Pama-Nyungan","Australia ","Australia",0,0.00511473777816628
"185",2008,"arl","Arabela","Zaparoan","Zaparoan","Amazon ","South America",0,0.0181763194250194
"186",30,"arb","Arabic","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.00519267786519037
"187",2079,"arq","Arabic_Algerian","Afro-Asiatic","Afro-Asiatic","North Africa ","Africa",0,0.00665979010761461
"188",1573,"acm","Arabic_Basra","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.0065054142975913
"189",2115,"shu","Arabic_Chad","Afro-Asiatic","Afro-Asiatic","West Africa ","Africa",0,0.0106202328354701
"190",28,"arz","Arabic_Egyptian","Afro-Asiatic","Afro-Asiatic","North Africa ","Africa",0,0.00612981314083139
"191",29,"afb","Arabic_Gulf","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.00649742840695416
"192",4141,"ajp","Arabic_Jordanian","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.00889341553826729
"193",2213,"apc","Arabic_Lebanese","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.0106818086893939
"194",4090,"ayl","Arabic_Libyan","Afro-Asiatic","Afro-Asiatic","North Africa ","Africa",0,0.00632840416841492
"195",2235,"mfe","Arabic_Mauritanian","Afro-Asiatic","Indo-European","West Africa ","Africa",0,0.0125261330903263
"196",31,"ary","Arabic_Moroccan","Afro-Asiatic","Afro-Asiatic","North Africa ","Africa",0,0.00967100991919192
"197",2274,"acx","Arabic_Omani","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.0107335876575369
"198",2277,"ajp","Arabic_Palestinian","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.00680063061499612
"199",4088,"aec","Arabic_Sa'idi","Afro-Asiatic","Afro-Asiatic","North Africa ","Africa",0,0.00488387816239316
"200",2284,"ars","Arabic_Saudi","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.00470775459207459
"201",4089,"apd","Arabic_Sudanese","Afro-Asiatic","Afro-Asiatic","North Africa ","Africa",0,0.00693468953632478
"202",32,"apc","Arabic_Syrian","Afro-Asiatic","Afro-Asiatic","Middle East ","Eurasia",0,0.00889341553826729
"203",33,"aeb","Arabic_Tunisian","Afro-Asiatic","Afro-Asiatic","North Africa ","Africa",0,0.00783393643104118
"204",2337,"jye","Arabic_Yemeni","Afro-Asiatic","Afro-Asiatic","Middle East ","Africa",0,0.0168075693745144
"205",4165,"arg","Aragonese","Indo-European","Indo-European","Europe ","Eurasia",0,0.00720625018162393
"206",2520,"akr","Araki","Austronesian","Austronesian","Pacific ","Pacific",0,0.0179532961868687
"207",2521,"atq","Aralle-Tabulahan","Austronesian","Austronesian","Pacific ","Pacific",0,0.0183610256682207
"208",3385,"stk","Arammba","South New Guinea","Morehead-Wasur","South New Guinea ","Pacific",0,0.0194966563791764
"209",1303,"jbj","Arandai","Trans New Guinea","South_Bird's_Head_Family","North New Guinea ","Pacific",0,0.0192423063752914
"210",1047,"aro","Araona","Tacanan",NA,"Amazon ","South America",0,0.0157988930594406
"211",3931,"arp","Arapaho","Algic","Algic","Western North America ","North America",2,0.00511224453613054
"212",2522,"aoj","Arapesh_Muhiang","Torricelli","Nuclear_Torricelli","North New Guinea ","Pacific",0,0.0174953291414141
"213",3072,"mcd-2","Arara do Acra","Panoan","Pano-Tacanan","Amazon ","South America",0,0.0159249024825175
"214",3199,"mcd-3","Arara do Mato Grosso","Tupi","Pano-Tacanan","Amazon ","South America",0,0.0172629578467366
"215",3446,"arn-2","Araucanian","Araucanian","Araucanian","Andes ","South America",0,0.00762308720959596
"216",99,"arw","Arawak","Arawak","Arawakan","Amazon ","South America",0,0.0139430427758353
"217",3958,"awt","Arawet?","Tupi",NA,"Amazon ","South America",0,0.0181739359343434
"218",720,"aqc","Archi","Nakh-Daghestanian","Nakh-Daghestanian","Middle East ","Eurasia",0,0.00676271497804973
"219",2523,"alu","Are 'Are","Austronesian","Austronesian","Pacific ","Pacific",0,0.019128857024087
"220",1277,"agf","Arguni","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.0192423063752914
"221",2524,"aac","Ari","Trans New Guinea","Suki-Gogodala","South New Guinea ","Pacific",0,0.0189312716841492
"222",300,"laz","Aribwatsa","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.016431737020202
"223",2525,"ylu","Aribwaungg","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.016431737020202
"224",2526,"aai","Arifama-Miniafia","Austronesian","Austronesian","South New Guinea ","Pacific",0,0.0182786253146853
"225",3447,"ark","Arikapu","Macro-Je","Nuclear-Macro-Je","Amazon ","South America",0,0.0150847083840326
"226",3448,"ari","Arikara","Caddoan","Caddoan","Western North America ","North America",0,0.00760112607770008
"227",2348,"rrt","Aritinngithigh","Pama-Nyungan",NA,"Northern Australia ","Australia",0,0.0177524565831391
"228",1424,"tew","Arizona Tewa","Kiowa-Tanoan","Kiowa-Tanoan","Western North America ","North America",2,0.00492709656565657
"229",551,"hye","Armenian","Indo-European","Indo-European","Middle East ","Eurasia",0,0.00644226019327894
"230",4104,"hye-2","Armenian_Western","Indo-European","Indo-European","Middle East ","Eurasia",0,0.0064640788521756
"231",3666,"rup","Aromanian","Indo-European","Indo-European","Europe ","Eurasia",0,0.00705545860450661
"232",301,"apr","Arop-Lokep","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.016431737020202
"233",302,"aia","Arosi","Austronesian","Austronesian","Pacific ","Pacific",0,0.019128857024087
"234",151,"are","Arrernte_Central","Pama-Nyungan","Pama-Nyungan","Australia ","Australia",0,0.00526473209265734
"235",2349,"are-2","Arrernte_Eastern","Pama-Nyungan","Pama-Nyungan","Australia ","Australia",0,0.00526473209265734
"236",150,"aer","Arrernte_Mparntwe","Pama-Nyungan","Pama-Nyungan","Australia ","Australia",0,0.00526473209265734
"237",2441,"xxx-82","Arrernte_Pertame","Pama-Nyungan",NA,"Australia ","Australia",0,0.00505397037101787
"238",3957,"aap","Arﬂra_Parﬂ","Cariban",NA,"Amazon ","South America",0,0.0181739359343434
"239",2527,"asz","As","Austronesian","Austronesian","North New Guinea ","Pacific",0,0.0189533737762238
"240",2528,"aso","Asaro_Upper","Trans New Guinea","Nuclear_Trans_New_Guinea","New Guinea Highlands ","Pacific",2,0.0169529563714064
"241",3292,"cpc","Asheninka_Apurucayali","Arawak","Arawakan","Amazon ","South America",0,0.0116867569141414
"242",3667,"ask","Ashkun","Indo-European","Indo-European","South Asia ","Eurasia",0,0.00676218653302253
"243",3449,"cag-2","Ashuslay","Matacoan","Matacoan","Patagonia ","South America",0,0.0128804159700855
"244",3959,"prq","Ash?ninka_Peren?","Arawak",NA,"Andes ","South America",0,0.0101656815790598
"245",3960,"cpu","Ash?ninka_Pichis","Arawak",NA,"Andes ","South America",0,0.0116867569141414
"246",3961,"cpb","Ash?ninka_Ucayali-Yur∑a","Arawak",NA,"Andes ","South America",0,0.0116867569141414
"247",2529,"asi","Asienara","Trans New Guinea","Nuclear_Trans_New_Guinea","North New Guinea ","Pacific",0,0.0191192723484848
"248",1076,"asc","Asmat","Trans New Guinea","Nuclear_Trans_New_Guinea","South New Guinea ","Pacific",0,0.0189198293822844
"249",2530,"nks","Asmat_North","Trans New Guinea","Nuclear_Trans_New_Guinea","South New Guinea ","Pacific",0,0.0189198293822844
"250",570,"asm","Assamese","Indo-European","Indo-European","South Asia ","Eurasia",0,0.0131466522327117
"251",3450,"asb","Assiniboine","Siouan","Siouan","Western North America ","North America",0,0.00555570869425019
