"","name","q15","q25","q50","q75"
"2","Test 2","0.8318","0.8796","0.453","0.4652"
"3","Test 3","0.807","0.8644","0.425","0.4358"
"4","Test 2, Glottolog","0.9814","0.911","0.0636","0.1288"
"5","Test 3, Glottolog","0.97","0.8784","0.0584","0.0848"
"6","Test 2 Means","0.6028","","",""
"7","Test 3 Means","0.5198","","",""
"8","Test 2 Medians","0.0496","","",""
"9","Test 3 Medians","0.0758","","",""
